1,上司のパワハラや教育方法が明確でない。残業代未払いや時間外労働。ミスに対していつまでも根に持つ。,上司解雇。労働監督署の指導。教育方法の見直し。タイムカードの取付。月に１回は全体会議を開き内部状況を報告する,2017/8/10,2017/8/10
2,とにかく紙での情報媒体が多く、又、重要なデータもパソコン毎に2〜3重持ちしており、最新版管理が出来ていません。,サーバ等、高価な機器は要りません。メインのPCを決め、業務に必要なデータを、業務に必要なパソコンのみで共有化します。また、共有化されたデータは、外付けのメディアに1回/日、バックアップを採取する運用を定着すれば、業務の効率化とデータ管理の高度化が図れます。,2017/8/10,2017/8/10
3,不透明な説明がかなりあるような職場は、好感度は、ないと思います。,とにかく情報を得て、ちゃんとした場所で解決して、周りにわかりやすく説明すれば、いいと思う。,2017/8/10,2017/8/10
4,会社の上司が仕事に私情をはさみ好き嫌いで仕事を任せるか任せないか決めていることが問題点です,仕事を任せるのは私情ではなく仕事ができるかできないかで判断してもらう,2017/8/10,2017/8/10
5,煙草の吸殻の放置や日頃の挨拶などマナーやモラルが守られていないこと。,定期的に講習などを行いリーダーが担当部下などにしっかりと指導するように改善する。,2017/8/10,2017/8/10
6,仕事が分担割りされているのだが、それぞれの分担でどのような状況なのかが他のひとにあまり伝わっていない。急な問い合わせのあった時に慌てるし、イベント事なので当日の動きなどギリギリにならないとわからない。,小さな職場でも定期的なミーティングがあれば大分改善すると思う。文書をまわすだけではやはり伝わりにくい部分がある。,2017/8/10,2017/8/10
7,気分にムラがある人がいて、職場の空気が日によって良かったり悪かったり違うこと。,会話をする事が必要だが、職場ではなかなか暗い雰囲気から抜け出せないこともあるので、仕事終わってから食事に行ったり、職場以外で話す機会が必要ではないかと思う。,2017/8/10,2017/8/10
8,ほぼ女性しかいない職場であり、閉鎖的空間である。外部からの人の出入りも少なく、内部の問題が外部にわかりにくい。,長年同じ部署にとどまる人も多いため、外部に出入りするように提案した。,2017/8/10,2017/8/10
9,スタッフ全員が暗いです。その為お客様クライアントにも伝わってしまい、業績が落ちています。,やはり対人のお仕事なので笑顔を作ること、朝しっかり挨拶する事。作り笑顔でもやっているうちに楽しくなるのではないかと思います、,2017/8/10,2017/8/10
10,職場内の空気が固く、新入社員が気軽に質問などできる雰囲気がない。,職場内で挨拶の回数を増やしたり、上司が率先して世間話などでも話し出すようにする。,2017/8/10,2017/8/10
11,月に2回、ノー残業デーがあるのですが、実際にはノー残業デーでも、みんな残業していて、帰りづらい雰囲気が問題だと思います。,上司が率先してノー残業デーを実施して、部下より先に帰り、帰りやすい雰囲気を出したり、上司が「ノー残業デーだから、今日は帰れ」と部下に声かけをすれば、帰りやすくなると思います。,2017/8/10,2017/8/10
12,会社では年功序列という風潮がまたまだ抜けてないので年上の言う事は言いなりになってしまう。,やっぱり年功序列という風潮が悪いとは思いませんが、古いやり方は新しくしないと時代は変わります。年下の意見を聞き入れる機会を作らないといけないと思います。,2017/8/10,2017/8/10
13,職場の人達それぞれのコミュニケーション不足が事務所内の雰囲気を悪くしている,あいさつなど、出来ることから積極的にみんなとして、少しでも明るくすること。,2017/8/10,2017/8/10
14,人間関係。うわべだけの人間関係が業務において悪影響を与えている。信頼感がないので簡単に裏切る。,会社からの経費で社員で飲み会の実施。現在の不満や相談事を簡単に話せる場所があればよいと思う。,2017/8/10,2017/8/10
15,部署によって忙しさが違い、しかももっと忙しい部署からすればそう忙しくもない部署の人間の忙しい自慢の愚痴。,それぞれが愚痴程度ですんでるうちはいい。愚痴れる空間(社外がいいのかもしれないけど、飲食店はお金かかる)が男女別、上司が来ない、があるといい。本来あったはずの休憩所が仕事場に転換されて休憩所がほとんど無くなった。,2017/8/10,2017/8/10
16,私の職場は、新入社員や転職者へのサポートが乏しく、教えるといった概念がないことが問題に感じます。,新入社員への教えなければ、結果として失うものが大きいように感じます。教わるだけでなく、教えることに対しての教育制度も設けるといいかと思います。,2017/8/10,2017/8/10
17,お局様達の新人イビリが凄い所。それを上司が見てみぬふりをしている点。,常に笑顔でにこにこしながら痛くも痒くも無い様に装ってます。そうするとお局様達もつまらないみたいで去って行きます。,2017/8/10,2017/8/10
18,３人の上司のいる部屋があるが、誰が在室中なのかわからない。急用でなければ、社内用PHSを利用してわざわざ居場所確認をしたり、時間を取ってもらいにくい。印鑑の捺印が欲しいとか、仕事についての相談など、在室していて時間を取ってもらいやすそうなら声をかけている状況。ドアを開けて、用事のある上司が不在だと他の在室中の上司に申し訳ない気持ちになるし、そのあと、何度行ってもタイミングが合わずに合えないと時間が勿体ない。,各上司の在室不在のカードを作って、わかりやすくする。そうすれば、部屋の前に行っただけで状況がわかり、不在ならわざわざ部屋の扉を開ける必要がなくなる。,2017/8/10,2017/8/10
19,人と人の風通しがかなり悪く感じます。一番上に立つ人間が、お気に入りの部下の意見をかなり取り入れる,やはり、会議などを定期的に開き、自分の意見を言えるような環境作りが大切,2017/8/10,2017/8/10
20,みんなそれぞれがいがみ合っていて、ギスギスした雰囲気が流れていること。,差し入れやお菓子などをこまめに配り、お菓子をきっかけに会話をして、張り詰めた空気を壊すようにしている。,2017/8/10,2017/8/10
21,男性トイレの個室が少なく、出勤時にかなりの割合で混雑することです。,会社内にトイレを増設できれば言うことはありませんが、無理でも外に簡易トイレを設置する。,2017/8/10,2017/8/10
22,報連相（報告・連絡・相談）がきちんとなされていない。自分は正社員ではありません。これは、会社の体質なのかな？と思っていますが、大体被害を被るのは正社員以外の人です。,朝礼で色々な連絡等行うのですが、集まる人の幅が広すぎて、聞いていてもほぼ関係ない話では？と思うような事が多く、とても無駄な時間に感じます。それだったらもっと狭い範囲での朝礼をし、その狭い範囲で必要である内容の連絡等をした方が、無駄な時間を費やす事なく、滞りなく業務が行えると思います。,2017/8/10,2017/8/10
23,40代50代のスタッフが出来ない事や分からない事を年齢のせいにして開き直る所,もう少し採用スタッフの年齢をキャリアがあるからと言って高い年齢層ばかり採用するのを控えるようにしたら良いと思う。,2017/8/10,2017/8/10
24,コミュニケーションをはき違えている人がいること。馴れ合いや仲良しクラブのような関係は円滑な職場の人間関係ではない。,相手に干渉しすぎない。間違った身内意識で、グループになろうとしない。,2017/8/10,2017/8/10
25,会社の体質が古く、男尊女卑傾向が強いことです。例えば、お茶だしや電話応対は、同じ仕事をしている社員同志であっても女性の仕事であると暗黙の了解になっています。,男性に、意識を改革してもらうきっかけになるように、女性のお茶だしを原則なくし、来客対応をする本人が、設置されたショーケースの中から飲み物をだし、お客様にお出しするようにする。男性社員には、このほうがスマートで効率が良いという利点をアピールします。,2017/8/10,2017/8/10
26,上司の態度が、営業で成績が取れている人とそうでない人で違う。,社員をしっかりと教育し、どうしても成績が出ない人がサポートしてもらえる環境を作る。,2017/8/10,2017/8/10
27,共有で使うもの、例えば、カッターとかガムテープを使っても元に戻さない事が多いこと,共有物の置き場を決め、その置き場に番号や名前を決め、共有物にその置き場の番号をかきます。使った人が元に戻し忘れても、他の人が戻してくれます。,2017/8/10,2017/8/10
28,自由に自分の意見が言いづらい雰囲気と責任を個人に押し付けやすい環境,チーム制にして定めた目標に対してチーム毎に競わせ、月ごとにチーム表彰。一位のチームにはチームランチのご褒美。内容によってエスカレーションで仕事が振り分けるルールの制定。,2017/8/10,2017/8/10
29,人手不足で、１人当たりの作業にかなり負担がかかっていると思う。,作業の効率をあげることはもちろんだが、人は必要としない作業を考えていくべきである,2017/8/10,2017/8/10
30,現場の意見がきちんと反映されていない。現場をよく分かっていない管理者が現場の意見を聞かずに、様々なことを決定してしまう。問題が発生して、初めて現場の意見を採用する。,現場が意見を言いやすい会議や意見箱を作る。管理者が管理者研修をマネージメントを学ぶ。,2017/8/10,2017/8/10
31,丸投げと死んだふりしたやつが上に行く、後輩の指導したふりが上手い奴が上に行く,昇進するためには上司よりも部下から評価されているかを念頭に、部下にアンケート調査を行い、評価されていない人間は昇進させない。,2017/8/10,2017/8/10
32,営業職であるがゆえに個人プレーになりがちです。他の人のサポートなど気が回らない。,みんなが一つの会社、チームであると自覚するべき。個人プレーでなくチームプレーで会社を発展させたい。,2017/8/10,2017/8/10
33,育成制度はあるものの、結局は年功序列で経験年数の高い者が発言や行動が讃えられるような状況であり、どれだけ真面目に頑張っても、昇級は難しい。,育成制度を評価できる人材を科長や主任などに任命してもらうことで、正当な人事評価に結びつくと思います。科長や主任クラスの育成についての学習の必要性と、会社自体の人事制度の見直しをして、能力があるものの評価をきちんとすべきと思う。,2017/8/10,2017/8/10
34,仕事中に、人の好き嫌いを露骨に態度に現す人が、部署ごとに存在し、雰囲気を悪くしている。,あえて、そのような人たちを同じ部署に集める。態度が改善すれば良し。もし不和で辞めてしまわれても、それほど惜しい人材でもない。,2017/8/10,2017/8/10
35,コミュニケーションが上手く取れないので、仕事に影響してくる。,社員同士でバーベキューや旅行をして、仲良くなれるようにする。,2017/8/10,2017/8/10
36,正社員と契約社員・派遣社員の不平等感が、賃金格差並びに「自分たちばかり低い評価になっている」との不信感が溢れている。業務内容が同一に近く、あやふやな「職責」「最終責任」を正社員は負担している、という目に見えないが実態として存在しているものの説明が難しい。,各雇用区分ごとに、その会社における職責を明確化するのと、定期的に職場の席を離れた箇所でミーティングを実施。大事なのは、愚痴ではなく、今の課題と解決案を会社に帰属する立場として考えて話し合いましょう、という場を作るのがいいのかな、と思います。愚痴となると、愚痴を話したけれども、改善してくれないじゃないか、になってしまうので。,2017/8/10,2017/8/10
37,風通しが悪く、人間関係がギスギスしていることです。また、下の人間が上の人に意見が言えないことです。,定期的に飲み会などの親睦会を図り、人間関係を円滑にするように取り組む。,2017/8/10,2017/8/10
38,マニュアルが徹底されておらず作業者によって作業時間が異なってくるため非効率的。,マニュアルや指導を徹底し、誰が作業しても作業時間にムラが出ないようにし作業効率を改善する。,2017/8/10,2017/8/10
39,最近会社自体の業績が悪いので、職場がどんよりしていて活気がありません。そのくせに人手が足りないので、一人一人の負担が増えて大変です。,業績が上がれば職場の雰囲気も上がるはずです。ですか人手を増やして従業員が余裕を持って働けるようになれば業績は上がるはずです。モチベーションアップには、やり甲斐が大切です。,2017/8/10,2017/8/10
40,管理職の待遇は非常に考慮されているがアシスタント職や秘書職の待遇が非常に悪いが改善される気配がない。,人事制度、給与制度を見直す。パフォーマンスベースは継続して欲しいが秘書職のベースサラリーを見直して欲しい。,2017/8/10,2017/8/10
41,職場の雰囲気を良くするには、どうすればいいのか。また、それには何が必要なのか。,ユーモアと仕事に関することを交えることです。ユーモアというのは、笑いというのを含みます。,2017/8/10,2017/8/10
42,私は銀行の営業職なのですが、そもそも地域の人口が減っているのに、顧客を増やすための過大なノルマが設定されている事。,利益を出すためにノルマを設定しているのだと思うが、無理やり利益を増やしていったところで先がない。なので地方の銀行はAIやIoTなどで人件費を削減するシステム作りをして、コストカットをすることで適正な仕事量で利益を維持できるのではないか。,2017/8/10,2017/8/10
43,言っていることが首尾一貫せず、その場の感覚で発言し周囲を惑わす役員,言った言わないの論争は絶対に避ける。メモをとるのは基本であるが、相手の意図を都度確かめること。時間を置くと話が変わってしまう場合は、こまめにコミュニケーションをとり、相手に内容を変えさせない。,2017/8/10,2017/8/10
44,仕事できる人ほど任せられる仕事量が多く、仕事の出来ない人ほど安易な仕事をしているにもかかわらず、給与体系は年功序列制,一人一人のノルマ制度を構築し、営業ならノルマ達成率に対する報酬を与えるべき,2017/8/10,2017/8/10
45,新規の作業や新規かつ難易度が高い作業ばかり担当しているのにも関わらず評価に加味されず、同様・同程度の作業を担当している社員ばかり評価され昇進・昇給していく。,新規の作業や難易度が高い作業は、そもそも同様・同程度の作業の評価と同じ手法で捉えるのではなく、新規である事や難易度が高い事を加味した指数を設けるなどしてレベルに応じた評価制度にする様にする。,2017/8/10,2017/8/10
46,残業することが美徳と考えられているような、日本的な慣習が蔓延化しているので、結果仕事時間が長くなってしまっている。,残業せずに、効率よく定時に終わらせる人は高く評価され、給与や待遇もしっかり与えられるシステムを作る,2017/8/10,2017/8/10
47,コミュニケーションが非効率な形でしか行われていない。メールがある、伝言ツールがあるからそれで「伝わる」と感じている指示役がいるがほとんどの場合は「伝わってない」,便利なものは便利で使えるとは思うが人と人とが仕事をするわけで面と向かって会話をして仕事をしたほうが、よっぽどメールよりかは効率が良い。メールなどデジタルツールを多用する人には、こちらのやり方を態度で示したり説明したりする。,2017/8/10,2017/8/10
48,仕事を円滑に行うにあたり、仕事をするスタッフ数の絶対値が少ない。また、入試してもすぐに離職。,スタッフが楽しい、やりがいがあると思える仕事場やキャリアパスを作る。また、出来高払いなどの報酬をつけてみる。,2017/8/10,2017/8/10
49,かなり意地悪な人がいて、その人の気分次第で周りの人がみな振り回されてしまうことです。更にその人は全く仕事ができません。,一番最適な方法は、その人を部署移動させてしまうことです。もしくはそれができなければ、あまり責任の重い重要な仕事を任せないと良いと思います。,2017/8/10,2017/8/10
50,上司と部下のコミュニケーションが取れておらず、昔ながらの軍隊式的な雰囲気になっており、仕事を楽しんでやっている環境になっていない。,上司同士がよく話し合い、部下一人一人のいいところを見つけてあげるミーティングの場を作り、上司が常に笑顔で接する事が部下も、のびのびと仕事に取り組む事ができると思います。,2017/8/10,2017/8/10
51,会議が多すぎて、会議のための資料づくりの時間がもったいない。,本当に必要な会議なのかアンケートを実施し、不必要な会議を減らす。,2017/8/10,2017/8/10
52,給料も少なく、休みも不定休でプライベートの時間の予定も立てにくい。,給料よりも福利厚生の充実や、あらかじめ休日の日程を提出していただきたい。その上で、休日出勤すれば、どこかの日にちで休む。,2017/8/10,2017/8/10
53,多様な年代の集まる職場では、コミュニケーションの不足が問題にあがることが多いと思います。わたしの職場でもそうでした。特に、年配の上司と20〜30代の社員とのコミュニケーションがうまくいっていないことが多く、よく上司が愚痴にこぼすのを聞いていました。,やはり人と人とのことですから、お互いに意識して声をかけることが大事で、それは何も仕事のことだけではなくて、日常的に雑談を交わすということを意識すべきです。とはいえ仕事の最中にあえてそのような時間をとることもむずかしいので、わたしの職場では、単純作業をするときにはある程度のメンバーが集まって、作業しながら雑談できるようにしています。,2017/8/10,2017/8/10
54,製品部品の検査不適合が多い。そのため部品不足で目標集荷台数に対して出荷数が大幅に割っている状態。下請け業者に検査不適合が多いことが伝わっているかどうか、1人の担当者が最後まで見ていないのでわからない。,問題点として重要度が高い事なのに会社の重役の人達が気づいていないかも知れない。（もしくは野放しにしている）ので会議の機会を増やし、希望者もその会議に参加できるようにしてほしい。,2017/8/10,2017/8/10
55,私が、職場で感じるのは上司からの平等です。仕事のできる人間には待遇を良くして、できない人間には待遇を悪くしようとしています。,この課題を解決するためには、総務部がきちんとをこういったことを取り締まってくれないと解決できないと思いますので、評価のことに関しては、専門の部署を作り行う必要があると思います。,2017/8/10,2017/8/10
56,仕事を頼みやすい人だけ、仕事が増え残業している。出来る人と出来ない人がはっきり分かれる。,思い切って仕事をローテーションし、皆がある程度どの仕事にも関与できるようにする。,2017/8/10,2017/8/10
57,職場のリーダー（社員）の評価・信頼感が各々によって違い更に部下メンバー（基本パートシフト）達の仕事評価もリーダーの意識によって違いがある。仕事に対しての社員とパートでの意識に温度差が有るのにその件に対して解決しようという意識が薄い。,"リーダー達の経験が浅いので、評価がどうしても表面的な所でしか見えていないので、同じ視点からの評価を見るためにいくつかの基準評価設定リストに沿って見てもらう。パートメンバーたちは、比較されることにとても戦々恐々としているところもあるので、評価表などの個別リストがあると正直更に不信感を持ってしまう事にも繋がる。なので、平等に扱っているという意識をパートメンバーに認識させるために自己評価と上司評価の両方を作成した方が良いと思う。
また、小さな提案やアイデアを出した事にまず評価すべき。そのためには、提案や疑問に思ったことに否定からではなく肯定し一度メンバー全員でミーティングや意見問い合わせのアンケートなりの機会を設け一部の意見だけで押し通したりしない対策も必要ではないかと思う。リーダー達が、こまめに一番下のメンバーたちの意見をくみ取る努力をしている所は、下の者たちも、自分の仕事に誇りを持ち、会社のためにより良い仕事環境を作るようになって行くようになると思います。",2017/8/10,2017/8/10
58,人材の確保育成が出来ていない。採用担当者が力がなさすぎるし、60歳超えた再雇用の人間が採用担当だという事が問題ありだと思います。,まずは経験豊富な40代から50歳くらいの採用担当に変更して、更に会社上層部とパイプがあって給料体系の見直しで成果実力主義となるような形とするべき。,2017/8/10,2017/8/10
59,求人を出すことには積極的なものの、研修資料や新人教育制度が無いので新しい人が入ってきてもすぐに辞めてしまう。それぞれが持つ仕事が忙しいので、誰一人として教える暇がない。,"一人一人の仕事量を調節して、研修資料や業務のマニュアル作成の時間を作る。
チームワークが必要不可欠な業務の為、新しい人が入ってきたらチーム全体で支えられるように日々の業務をより効率的にこなす。もしこなせない場合は、上司に相談する。",2017/8/10,2017/8/10
60,とにかく残業が常習化しており残業するのが普通となっている、残業するのが当たり前になっている。,まずは、意識的な改革が必要で異常で有ることを再認識する必要性がある。残業する必要のないまずは一人一人の作業量の把握し多すぎればワークシェアするようにする。,2017/8/10,2017/8/10
61,人が育たない、人がいない、動ける人が少ない、自分本位の人が多く、助けようとしない。,時間を作り、一人一人コミニュケーションを取り、不平不満を聞いて上司と相談して改善点を探る。,2017/8/10,2017/8/10
62,小売業です。盆、正月、ゴールデンウィークなどは会社の方針で何日か休みになります。稼ぎ時なのに、と思いますが…,会社で話し合いを設け、店を開けられるようシフトを調整します(まずは試しでも)。大型ショッピングモールに入っている同業種は基本年中無休であることも材料に、提案・要求してみます。,2017/8/10,2017/8/10
63,管理職の待遇は非常によく考慮されているがアシスタント職や秘書職の待遇等は良くなく改善の余地がある気がします。,アシスタント職や秘書職の給与体系の見直しを早急に行う必要がある。パフォーマンスベースでの査定はいいと思うが上記の職のベースサラリーを見直して欲しい。,2017/8/10,2017/8/10
64,与えられた仕事によって、成果を出すための難易度がどうしても異なってくる。人一倍の努力をしても、与えられた仕事にチャンスが少ないために成果に結びつかず、評価されないというのは不平等であり、やる気がそがれる。,難易度の高い仕事に従事している者は、評価の対象となる仕事を自分で選べるようにする。そのために仕事時間の20％ほどを自分で選んだ仕事に取り組める時間とする。社員一人一人が現在従事している仕事以外にどんな仕事ができるのかを知るために、社内LAN等を用いて他部署の仕事情報をとれるようにする(社内でクラウドソーシング？)。,2017/8/10,2017/8/10